,primary_62d,wf_mar,wf_apr,wf_may,mean_gain
dev_amt_sum_24h,0.000798241981596918,0.0008015851575884661,0.000883470649673734,0.0005764142415730971,0.0007649280076080537
cust_type_prior_n,0.0008484966028479917,0.0004977577016025899,0.0008368395136277534,0.000729527758382451,0.0007281553941151965
is_night,0.0003060695053358139,0.0014193421842579003,0.000526613374982867,0.0006351581583259426,0.000721795805725631
account_age_log,0.0006918652316548524,0.0008510779906651787,0.0007192909605897948,0.000457229189747123,0.0006798658431642372
dev_amt_sum_1h,0.0005862289368393463,0.0005623804793799071,0.0008938075953010888,0.0005700440605589861,0.0006531152680198321
dow_sin,0.0005577447743212238,0.0007262126012266826,0.0006386102471580986,0.00048194927790661397,0.0006011292251531547
cust_amt_sum_168h,0.0005550585413656527,0.0005487824113739671,0.0008279402853647901,0.0004350538642969671,0.0005917087756003443
cust_prior_n,0.00044327788769843934,0.0010666794299382574,0.0004785959557276938,0.00032878904909303206,0.0005793355806143556
g_cust_2hop,0.0006265518163096979,0.0005473550137825851,0.0007102763652567919,0.00040249757557019944,0.0005716701927298186
cust_amt_sum_72h,0.0006321188045635371,0.0005989863143700584,0.0005605572388820381,0.0004338956329446341,0.0005563894976900669
cust_dtype_prior_n,0.0005404729213698955,0.0005168647868673387,0.0005021006056984064,0.0005711105529366082,0.0005326372167180622
dev_prior_nloc,0.0006593563421584021,0.00047373772233898627,0.0005399104372544902,0.00041773853161685646,0.0005226857583421838
cust_amt_mean_24h,0.0004763989661427035,0.0005824890276669104,0.0005622192949666897,0.00032181552984563463,0.0004857307046554846
cust_payme_prior_n,0.00045365872146446495,0.0004284606778528038,0.0005939633291681481,0.00039543454777161714,0.0004678793190642585
dayofweek,0.00039879218979417373,0.00048224036675418425,0.000507337782519696,0.00031363615536887776,0.00042550162360923294
cust_merch_prior_n,0.0006438480830644506,0.00011006281792252221,0.0003324782979694014,0.0006114335633556128,0.00042445569057799677
dev_amt_mean_1h,0.0005014918232045992,0.00016737659432225057,0.00040434619126903754,0.000528332768333986,0.00040038684428246834
cust_amt_sum_6h,0.0005356260432235786,0.0003864073669489969,0.00022781410722549222,0.00039820426090965465,0.00038701294457693056
g_cust_degree_merch,0.00036940619178539157,0.0004985614511495084,0.0003872461550709832,0.0002522795953704953,0.0003768733483440946
g_comp_size,0.0002920369789065084,0.00039357936374665256,0.0003155456901761117,0.0004795157195431016,0.00037016943809309354
